UniqueID,site_id,lat,lon,pft
3909993,f622269b4af08ffe,37.79911,-121.49169,annual crop
5003326,17f4b71353e99733,37.82475,-120.67878,annual crop
3901124,58a39bd688496479,37.82917,-121.04874,annual crop
3902257,829b943224934d75,37.85302,-121.29026,annual crop
3900024,629195fe5cadee05,37.89266,-121.30972,annual crop
0701315,5bbdd579f1ee9f19,37.9064,-121.58376,annual crop
0701169,9c15afc53357714b,37.95167,-121.67676,annual crop
3910950,1e782bbd9aba2833,37.96339,-121.41258,annual crop
0500459,eb70a6c8b0f58ea8,38.08514,-120.47661,annual crop
0500297,b0aad0a7d69598b0,38.18682,-120.82394,annual crop
3403466,b4c14ae3bec001c1,38.25789,-121.2001,annual crop
4800963,bd24018cde78901b,38.29991,-121.78208,annual crop
4804682,299f79b1e03bf3eb,38.35436,-121.83418,annual crop
5705583,dc9179b07c8ed8a7,38.36642,-121.59721,annual crop
5701986,167ab5fc67d3d4d3,38.57421,-121.78019,annual crop
3405105,69c398daff357da0,38.62267,-121.53812,annual crop
3102743,3f80ff62fe2838ad,38.86665,-121.40978,annual crop
3102385,190922c49a44f9aa,38.96796,-121.26205,annual crop
5100179,31e6da9168656711,38.97407,-121.66474,annual crop
5803501,578966bf4bfb4cfd,39.07784,-121.49638,annual crop
2900303,7935e2f555cdf9bb,39.13701,-121.15666,annual crop
0604034,c75e6dd82a4bdfa3,39.13847,-121.97803,annual crop
5101698,5a62bd8c14b93fc6,39.16234,-121.68997,annual crop
2900254,a98a5fe94a51c5a5,39.17197,-121.1941,annual crop
5103028,84bb575f8c8fb657,39.26372,-121.88491,annual crop
0603115,e59dbefe9c9236ff,39.27161,-122.21843,annual crop
0403485,dc98b4e761edc53a,39.35259,-121.83374,annual crop
1104895,e19e245fdad78def,39.55064,-122.15473,annual crop
4600048,df901934f52831d6,39.59935,-120.35656,annual crop
0403397,848b12bacff089ef,39.68882,-121.82083,annual crop
4500961,4e5a039db65ad456,40.50238,-122.32069,annual crop
1201175,aa8c8cadf5efa20f,40.51496,-124.02349,annual crop
4501224,c3cc92790e82238f,40.63064,-121.90013,annual crop
1200468,b88961b09985da28,40.72994,-124.18378,annual crop
1801128,803cd0235a410598,40.92088,-120.55699,annual crop
4500613,9e9b2e8dd0670374,41.0422,-121.47316,annual crop
1802573,507ebd1c6e9f5d14,41.14991,-120.97333,annual crop
2502746,41e40eb7f9b60788,41.54258,-120.46489,annual crop
4702940,5433838600b8edc0,41.54862,-122.51858,annual crop
4703655,72d745ad8741be18,41.62203,-122.78298,annual crop
3707491,b8b2dd94a7c44662,33.35306,-117.19182,woody perennial crop
3312395,ebb783e86d2ac6fb,33.57847,-116.03157,woody perennial crop
3312961,6328b22167f31aad,33.86884,-117.40838,woody perennial crop
3306059,df703141000c59c9,33.90119,-117.40624,woody perennial crop
3311313,9c562bb603f3b156,33.96727,-117.34049,woody perennial crop
5604295,9a28cf783448dc03,34.29708,-119.06014,woody perennial crop
5603719,d1dd970659a71943,34.37258,-119.03318,woody perennial crop
5603233,11aa82e47c15b8df,34.38596,-118.81446,woody perennial crop
5604628,5b18c5e0bebe449b,34.47244,-119.22015,woody perennial crop
4203463,096c9eebd28d0280,34.91295,-120.40345,woody perennial crop
1510506,dbb2c95a5cb30b5d,35.05618,-119.2735,woody perennial crop
1516688,5e21d98f69f14285,35.49646,-119.72323,woody perennial crop
1518251,cf9c2d9309d78058,35.65629,-119.97917,woody perennial crop
1511610,6616b64433b71c3c,35.77284,-119.09088,woody perennial crop
5420540,d69343ed38ea49c7,35.93301,-119.01888,woody perennial crop
5406185,729a6ef989c5a277,35.96904,-118.98552,woody perennial crop
5424759,a860cdc63cfc7cd1,35.98506,-119.01459,woody perennial crop
5426684,25d92d00fe5f31ea,35.99613,-119.13104,woody perennial crop
5424088,69151056c07813d8,36.0165,-119.12213,woody perennial crop
5420816,7b2e85c30ecfcbe8,36.03695,-118.96562,woody perennial crop
5429747,04268ba7e72d7bfb,36.04216,-119.36168,woody perennial crop
5435846,2c9f5faf24bff9fd,36.13925,-119.10525,woody perennial crop
1011248,2e11530b93cd492f,36.1778,-120.20411,woody perennial crop
5427391,f0c5457e0db29788,36.18711,-118.99795,woody perennial crop
1020088,d6ce58a349148d32,36.20587,-120.25336,woody perennial crop
5424360,8b27eb5fc60d506c,36.25395,-119.26319,woody perennial crop
5428155,64cf20b7075f16bd,36.28705,-119.12755,woody perennial crop
5429900,bfee4301f7c99060,36.35733,-119.09283,woody perennial crop
5418978,7afa2a6c097c1f5b,36.3626,-119.10984,woody perennial crop
5420876,6c1e7a1eb4c36ea5,36.37693,-119.45051,woody perennial crop
1601598,e968e9c8f8574cb2,36.38383,-119.65554,woody perennial crop
1603759,4c3498f22c47aa3f,36.47325,-119.58999,woody perennial crop
5432363,ce81d5b03685a33e,36.48936,-119.44393,woody perennial crop
1015089,05ce4008f973ff67,36.49535,-119.5918,woody perennial crop
5413858,1114b0b499d4854c,36.51519,-119.42062,woody perennial crop
5408292,6def26440f10476c,36.5524,-119.45881,woody perennial crop
5410669,60f846ca525da31e,36.55727,-119.22236,woody perennial crop
5421095,427606829eff9a98,36.6005,-119.25964,woody perennial crop
1012828,32b66a2605ee700d,36.62789,-119.5511,woody perennial crop
1004605,29baab2f12e2fd80,36.62869,-119.55927,woody perennial crop
1014765,b68880e61d448b93,36.62893,-119.6305,woody perennial crop
1033716,ecc585936d3203a5,36.63048,-119.58156,woody perennial crop
1024981,24766015396f3dde,36.63384,-119.49152,woody perennial crop
1033342,cf0be21778f4dfa5,36.64072,-119.42862,woody perennial crop
5416064,39b7dba5debef188,36.6438,-119.28748,woody perennial crop
1008233,9c19b1bcbd391e00,36.6657,-120.07238,woody perennial crop
1024636,268a52869b01fe54,36.703,-120.23483,woody perennial crop
1009725,17b056351d1484f8,36.73876,-120.03574,woody perennial crop
6000264,a05ea26a797f4bad,36.74201,-119.66029,woody perennial crop
1022803,4032fbd64a0b5147,36.76356,-119.50957,woody perennial crop
1027402,bd841534f8883a00,36.79087,-120.42722,woody perennial crop
1001260,7a8855e8f27579dd,36.822,-120.01067,woody perennial crop
2007540,e07417e56c78efbc,36.82779,-120.13964,woody perennial crop
2003975,462a123c3840df4e,36.88373,-119.96643,woody perennial crop
1027797,3bde8bc179b8fcae,36.90691,-119.67872,woody perennial crop
4401700,57ea98e608333b76,36.90697,-121.68079,woody perennial crop
2005008,3747151a269036b7,36.94728,-120.10533,woody perennial crop
4401091,8c37c59148a2b480,36.95087,-121.79638,woody perennial crop
4302696,132df615713a9102,36.96033,-121.37833,woody perennial crop
2004376,cf1c223d4e408116,37.07745,-120.44392,woody perennial crop
